_id,__v,createdAt,sequence,updatedAt,courses
60eaeb93cbbec8f8075a4dcd,0,2021-07-11 13:01:07.180,4,2021-07-11 13:01:50.513,
60eaebb6cbbec8f8075a4f1a,0,2021-07-11 13:01:42.041,4,2021-07-11 13:02:35.157,
60eb95c4cbbec8f8075f483a,0,2021-07-12 01:07:16.557,3,2021-07-12 06:30:14.497,
60eba528cbbec8f8075fd56a,0,2021-07-12 02:12:56.858,2,2021-07-12 06:51:38.520,
60ebbc07cbbec8f80760cf4a,0,2021-07-12 03:50:31.470,1,2021-07-12 03:50:31.470,
60ebcc5ccbbec8f80761827e,0,2021-07-12 05:00:12.821,2,2021-07-13 00:58:00.772,
60ebe1e5cbbec8f807624be1,0,2021-07-12 06:32:05.596,2,2021-07-12 06:32:05.700,
60ebe65dcbbec8f807627bc9,0,2021-07-12 06:51:09.708,2,2021-07-21 07:13:24.462,
60ebeff7cbbec8f80762da18,0,2021-07-12 07:32:07.979,1,2021-07-12 07:32:07.979,
60ebf56dcbbec8f8076311b1,0,2021-07-12 07:55:25.853,3,2021-09-21 09:23:48.185,
60ebf763cbbec8f8076326f9,0,2021-07-12 08:03:47.570,6,2021-09-21 09:23:51.284,
60ebf9f0cbbec8f807633fc2,0,2021-07-12 08:14:40.576,2,2021-07-19 06:19:24.086,
60ec080fcbbec8f80763c3a3,0,2021-07-12 09:14:55.980,3,2021-07-19 06:19:42.301,
60ecff8bcbbec8f8076b3c4a,0,2021-07-13 02:50:51.364,2,2021-07-13 03:13:02.397,
60ed0d8ecbbec8f8076bc072,0,2021-07-13 03:50:38.116,2,2021-08-04 07:22:20.581,
60ed0fe3cbbec8f8076bd8a4,0,2021-07-13 04:00:35.527,2,2021-08-04 07:29:48.315,
60ed1212cbbec8f8076bf0c1,0,2021-07-13 04:09:54.147,6,2021-07-16 00:58:00.314,
60ed1465cbbec8f8076c08d4,0,2021-07-13 04:19:49.921,2,2021-08-04 07:50:35.212,
60ed1a31cbbec8f8076c3ad6,0,2021-07-13 04:44:33.649,11,2021-08-11 08:27:12.664,
60ed1dc2cbbec8f8076c5e8e,0,2021-07-13 04:59:46.852,12,2021-08-11 08:27:57.813,
60ed42c6cbbec8f8076dbc15,0,2021-07-13 07:37:42.302,1,2021-07-13 07:37:42.302,
60ed5640cbbec8f8076e8335,0,2021-07-13 09:00:48.426,2,2021-07-14 02:45:27.742,
60edd300cbbec8f807726102,0,2021-07-13 17:53:04.057,8,2021-09-25 02:17:25.006,60d54f69ed8ee5e74ad88a9c
60edd354cbbec8f80772635f,0,2021-07-13 17:54:28.026,8,2021-09-24 04:00:00.995,60d4405b3d549f33ea081b46
60ee4e86cbbec8f807760b6f,0,2021-07-14 02:40:06.400,2,2021-07-14 02:40:07.348,
60ee654acbbec8f80776dc67,0,2021-07-14 04:17:14.646,2,2021-07-14 06:59:53.525,
60ee65becbbec8f80776dfc5,0,2021-07-14 04:19:10.729,12,2021-09-23 13:11:35.810,60d04dec307be2e78cdb41c8
60ee6632cbbec8f80776e49e,0,2021-07-14 04:21:06.188,8,2021-08-11 08:27:09.007,
